,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tuktoyaktuk,90,CA,1580836288,75,69.45,-133.04,-18.39999999999995,5.7
1,Umm Lajj,0,SA,1580836289,64,25.02,37.27,62.708000000000006,2.25
2,Miraflores,40,MX,1580836289,42,19.22,-98.81,73.4,7.7
3,San Patricio,75,MX,1580836290,78,19.22,-104.7,77.0,1.39
4,Norman Wells,40,CA,1580836291,75,65.28,-126.83,-20.199999999999953,2.6
5,Hilo,90,US,1580836292,68,19.73,-155.09,66.2,3.6
6,Tautira,20,PF,1580836293,83,-17.73,-149.15,78.80000000000001,1.5
7,Sadove,90,UA,1580836293,93,46.25,30.18,44.6,8.0
8,Volksrust,63,ZA,1580836294,58,-27.37,29.88,66.41600000000001,2.67
9,Thompson,20,CA,1580836295,75,55.74,-97.86,-18.39999999999995,2.1
10,Avera,75,US,1580836295,68,33.19,-82.53,68.0,3.6
11,Sitka,90,US,1580836064,93,57.05,-135.33,37.4,3.6
12,Tiksi,98,RU,1580836296,91,71.69,128.87,-27.687999999999946,2.31
13,Bad Doberan,40,DE,1580836297,86,54.11,11.9,42.008,7.7
14,Hamilton,90,US,1580836215,87,39.18,-84.53,57.2,2.6
15,Cherskiy,100,RU,1580836298,99,68.75,161.3,-31.377999999999965,1.73
16,Punta Arenas,75,CL,1580836223,54,-53.15,-70.92,57.00200000000008,9.3
17,Saskylakh,0,RU,1580836299,93,71.92,114.08,-29.613999999999983,4.69
18,Pisco,12,PE,1580836191,30,-13.7,-76.22,78.00800000000001,6.7
19,Phuket,20,TH,1580836300,61,8.0,98.25,80.6,4.6
20,Qaanaaq,0,GL,1580836301,55,77.48,-69.36,-20.487999999999943,2.8
21,Dikson,100,RU,1580836105,92,73.51,80.55,13.658000000000005,8.95
22,Vardo,36,NO,1580836302,72,70.37,31.11,14.0,9.3
23,East London,10,ZA,1580836137,55,-33.02,27.91,86.0,4.1
24,Albany,90,US,1580836205,80,42.6,-73.97,48.00200000000008,0.7
25,Busselton,0,AU,1580836304,25,-33.65,115.33,78.00800000000001,8.36
26,Ushuaia,75,AR,1580836304,71,-54.8,-68.3,51.8,12.9
27,Hermanus,21,ZA,1580836305,88,-34.42,19.23,71.00600000000003,3.58
28,Rikitea,14,PF,1580836306,75,-23.12,-134.97,80.02400000000002,5.2
29,Januaria,89,BR,1580836306,81,-15.48,-44.37,81.05000000000001,2.18
30,Igarka,100,RU,1580836307,86,67.47,86.58,-5.9079999999999515,10.65
31,Carnarvon,10,AU,1580836263,94,-24.87,113.63,77.0,2.6
32,Saint George,1,US,1580836308,31,37.1,-113.58,35.99600000000005,4.1
33,Torzhok,98,RU,1580836309,81,57.04,34.96,22.658,5.67
34,Tura,14,IN,1580836025,55,25.52,90.22,57.236000000000075,0.39
35,New Norfolk,35,AU,1580836158,71,-42.78,147.06,51.8,3.1
36,Mar del Plata,75,AR,1580836310,69,-38.0,-57.56,91.99400000000009,7.7
37,George Town,20,MY,1580836311,74,5.41,100.34,82.4,1.0
38,Laas,20,IT,1580836311,52,46.62,10.7,42.8,5.7
39,Koplik,75,AL,1580836312,100,42.21,19.44,57.2,1.0
40,Kumul,0,CN,1580836312,70,42.8,93.45,12.074000000000012,0.6
41,Port Augusta,0,AU,1580836312,59,-32.5,137.77,66.2,4.6
42,Butaritari,100,KI,1580836313,78,3.07,172.79,82.85,5.43
43,Owensboro,90,US,1580836314,100,37.77,-87.11,60.00800000000001,2.1
44,Nantucket,90,US,1580836314,81,41.28,-70.1,48.2,5.1
45,Morant Bay,40,JM,1580836315,55,17.88,-76.41,87.80000000000001,3.1
46,Makakilo City,1,US,1580836315,88,21.35,-158.09,73.4,1.5
47,Janakkala,33,FI,1580836316,73,60.83,24.67,24.008000000000003,3.1
48,Provideniya,100,RU,1580836316,82,64.38,-173.3,-10.461999999999954,9.69
49,Bakel,26,SN,1580836317,4,14.9,-12.46,92.75,3.07
50,Esim,53,GH,1580836317,64,4.87,-2.24,83.24600000000005,3.63
51,Dalbandin,0,PK,1580836318,38,28.89,64.41,48.34400000000008,2.59
52,Mataura,57,NZ,1580836318,81,-46.19,168.86,46.99400000000007,1.34
53,Castro,58,BR,1580836319,80,-24.79,-50.01,74.15600000000003,3.04
54,Puerto Ayora,20,EC,1580836319,62,-0.74,-90.35,87.80000000000001,6.2
55,Sinop,100,TR,1580836320,79,41.77,34.87,46.65200000000008,9.08
56,Lavrentiya,100,RU,1580836320,79,65.58,-171.0,-10.515999999999956,5.87
57,Bluff,34,NZ,1580836321,81,-46.6,168.33,46.99400000000007,1.34
58,Ilulissat,5,GL,1580836321,54,69.22,-51.1,1.3999999999999986,1.5
59,Kapaa,1,US,1580836263,88,22.08,-159.32,68.0,3.1
60,Fengzhen,0,CN,1580836323,55,40.44,113.15,9.572000000000035,1.0
61,Saint-Philippe,20,RE,1580836323,74,-21.36,55.77,80.6,11.3
62,Luau,100,AO,1580836324,97,-10.71,22.22,67.35200000000009,2.12
63,Yellowknife,20,CA,1580836324,66,62.46,-114.35,-25.00599999999998,2.6
64,Atuona,51,PF,1580836325,73,-9.8,-139.03,80.02400000000002,7.27
65,Tasiilaq,90,GL,1580836325,79,65.61,-37.64,28.4,15.9
66,Torbay,20,CA,1580836326,68,47.67,-52.73,33.998000000000026,9.3
67,Mayya,99,RU,1580836326,73,61.73,130.28,-32.799999999999955,2.0
68,Henties Bay,16,NA,1580836327,93,-22.12,14.28,64.99400000000009,1.34
69,Biak,0,ID,1580836327,76,-0.91,122.88,81.46400000000003,2.52
70,Nanortalik,90,GL,1580836328,71,60.14,-45.24,32.95400000000005,12.48
71,Arraial do Cabo,75,BR,1580836329,79,-22.97,-42.03,84.2,4.6
72,Kropotkin,38,RU,1580836329,77,45.44,40.58,35.99600000000005,3.63
73,Kununurra,100,AU,1580836330,94,-15.77,128.73,78.80000000000001,3.06
74,Tommot,93,RU,1580836330,99,58.96,126.29,-33.15999999999998,0.77
75,Big Rapids,1,US,1580836331,66,43.7,-85.48,35.00600000000003,4.6
76,Vaini,20,TO,1580836331,100,-21.2,-175.2,71.6,1.0
77,Tres Passos,0,BR,1580836332,56,-27.46,-53.93,89.00600000000003,0.89
78,Oranjemund,54,NA,1580836332,86,-28.55,16.43,65.80400000000006,5.0
79,Pangnirtung,75,CA,1580836333,49,66.15,-65.71,-2.199999999999953,2.89
80,Hobart,1,AU,1580836333,71,-42.88,147.33,51.8,3.1
81,Itoman,75,JP,1580836334,93,26.12,127.67,64.4,5.7
82,Santa Rosa,75,PH,1580835752,78,14.31,121.11,77.0,1.0
83,Kahului,20,US,1580836335,77,20.89,-156.47,69.00800000000001,2.6
84,Marzuq,0,YE,1580836335,65,14.4,46.47,65.51600000000002,2.49
85,Aguimes,54,ES,1580836336,19,27.91,-15.45,78.80000000000001,5.1
86,Kruisfontein,51,ZA,1580836338,70,-34.0,24.73,77.32400000000001,1.3
87,Angol,75,CL,1580836276,52,-37.8,-72.72,68.0,2.6
88,Saint Anthony,1,US,1580836339,52,45.02,-93.22,17.99600000000005,2.1
89,Cape Town,75,ZA,1580835621,88,-33.93,18.42,73.00400000000005,5.1
90,Eyl,35,SO,1580836340,74,7.98,49.82,77.28800000000004,10.66
91,Upernavik,0,GL,1580836341,78,72.79,-56.15,-17.823999999999963,3.61
92,Ascension,90,US,1580836342,78,30.22,-90.9,73.99400000000009,4.6
93,Ponta do Sol,20,PT,1580836342,68,32.67,-17.1,73.00400000000005,2.1
94,Fortuna,1,US,1580836343,47,40.6,-124.16,37.004000000000055,2.6
95,Lebu,22,CL,1580836343,42,-37.62,-73.65,66.86600000000001,3.93
96,Guerrero Negro,98,MX,1580836344,34,27.98,-114.06,59.0,3.02
97,Kavieng,100,PG,1580836345,78,-2.57,150.8,83.93000000000004,3.92
98,Hvide Sande,7,DK,1580836346,80,56.0,8.13,41.0,7.7
99,Chalmette,90,US,1580836175,83,29.94,-89.96,73.99400000000009,6.7
100,Hailar,17,CN,1580836348,93,49.2,119.7,-27.759999999999984,2.98
101,Lagoa,16,PT,1580836348,89,39.05,-27.98,62.6,10.8
102,Port Hedland,100,AU,1580836349,54,-20.32,118.57,82.4,4.1
103,Port Alfred,31,ZA,1580836349,85,-33.59,26.89,75.99199999999999,5.78
104,Shingu,83,JP,1580836350,59,33.73,135.98,46.88600000000007,4.99
105,Tavda,100,RU,1580836351,94,58.04,65.27,34.23200000000001,3.76
106,Nome,90,US,1580836324,78,64.5,-165.41,12.2,7.7
107,Kodiak,90,US,1580836353,86,57.79,-152.41,33.8,2.1
108,Bengkulu,100,ID,1580836353,89,-3.8,102.27,73.72400000000002,1.51
109,Saldanha,73,ZA,1580836354,73,-33.01,17.94,75.2,6.7
110,Stolin,100,BY,1580836355,86,51.89,26.85,33.11600000000001,4.47
111,Sovetskiy,94,RU,1580836355,91,61.36,63.58,27.914000000000033,4.58
112,Barra de Tecoanapa,2,MX,1580836356,35,16.52,-98.75,93.48800000000006,3.31
113,Sokolo,0,ML,1580836357,6,14.73,-6.12,84.59600000000006,3.17
114,Dunedin,52,NZ,1580836303,74,-45.87,170.5,49.1,10.2
115,Mnogovershinnyy,100,RU,1580836358,97,53.94,139.92,-8.211999999999954,2.85
116,Yerofey Pavlovich,0,RU,1580836359,88,53.97,121.97,-25.00599999999998,1.49
117,Ribeira Grande,40,PT,1580836359,88,38.52,-28.7,62.6,6.2
118,Vila Velha,20,BR,1580836360,66,-20.33,-40.29,87.80000000000001,7.2
119,Zdunska Wola,100,PL,1580836360,80,51.6,18.94,39.992,4.1
120,Beira,20,MZ,1580836361,79,-19.84,34.84,82.85,6.1
121,Bouca,0,CF,1580836361,21,6.51,18.27,81.01400000000004,1.37
122,Bahawalnagar,0,PK,1580836362,71,30.55,73.39,48.2,3.45
123,Narsaq,75,GL,1580836362,29,60.92,-46.05,39.2,5.1
124,Tilichiki,100,RU,1580836363,88,60.47,166.1,-14.547999999999973,4.06
125,Barsovo,75,RU,1580836364,92,61.17,73.17,19.4,6.0
126,Longyearbyen,20,SJ,1580836309,69,78.22,15.64,-7.599999999999952,1.0
127,Barrow,20,US,1580836365,73,71.29,-156.79,-29.199999999999953,2.6
128,Hambantota,2,LK,1580836365,81,6.12,81.12,79.62800000000007,8.94
129,Lavumisa,24,SZ,1580836366,84,-27.31,31.89,74.44400000000007,3.62
130,Samarai,81,PG,1580836366,88,-10.62,150.67,77.0,2.55
131,Ilebo,100,CD,1580836367,97,-4.32,20.58,70.53800000000004,1.5
132,Trairi,72,BR,1580836368,76,-3.28,-39.27,81.80600000000004,2.5
133,Strezhevoy,90,RU,1580836369,85,60.73,77.59,15.8,5.0
134,Padang,94,ID,1580836370,86,-0.95,100.35,68.558,2.19
135,Rome,90,US,1580836370,96,43.21,-75.46,39.00200000000008,2.6
136,Qaqortoq,75,GL,1580836371,29,60.72,-46.03,39.2,5.1
137,Ostrovnoy,71,RU,1580836371,73,68.05,39.51,14.99000000000002,4.16
138,Port Macquarie,90,AU,1580836372,82,-31.43,152.92,66.00200000000008,0.94
139,Avarua,75,CK,1580836372,94,-21.21,-159.78,80.6,4.6
140,Nikolskoye,100,RU,1580836373,53,59.7,30.79,24.8,6.0
141,Bandarbeyla,29,SO,1580836373,73,9.49,50.81,76.87400000000002,9.82
142,Fairbanks,90,US,1580836374,77,64.84,-147.72,6.008000000000003,0.79
143,Rabo de Peixe,75,PT,1580836374,82,37.8,-25.58,64.4,6.2
144,Kamaishi,96,JP,1580836375,92,39.27,141.88,30.416000000000007,1.48
145,Airai,100,TL,1580836375,72,-8.93,125.41,67.316,2.42
146,Boyolangu,100,ID,1580836376,90,-8.12,111.89,73.85,0.31
147,Maraba,75,BR,1580836280,74,-5.37,-49.12,86.0,1.34
148,Fukuecho,0,JP,1580836378,58,32.69,128.84,48.2,6.2
149,Aripuana,100,BR,1580836378,95,-9.17,-60.63,75.2,1.2
150,Chokurdakh,100,RU,1580836379,98,70.63,147.92,-15.915999999999961,2.68
151,Saint-Leu,20,RE,1580836379,78,-21.15,55.28,78.80000000000001,9.8
152,Esfarayen,36,IR,1580836380,19,37.08,57.51,48.2,7.2
153,Klaksvik,95,FO,1580836380,80,62.23,-6.59,41.0,4.6
154,Bosobolo,89,CD,1580836381,25,4.18,19.9,80.67200000000004,0.08
155,Jamestown,90,US,1580836308,86,42.1,-79.24,46.004000000000055,4.6
156,Tela,20,HN,1580836382,66,15.78,-87.45,87.00800000000001,3.1
157,Phalaborwa,2,ZA,1580836383,43,-23.94,31.14,87.80000000000001,1.5
158,Flinders,90,AU,1580836383,93,-34.58,150.86,66.99199999999999,3.88
159,Shellbrook,75,CA,1580836384,84,53.22,-106.4,-2.199999999999953,4.1
160,San Antonio,40,US,1580836258,83,29.42,-98.49,73.00400000000005,2.42
161,Sao Filipe,0,CV,1580836386,68,14.9,-24.5,72.33800000000005,10.96
162,Dirba,18,IN,1580836387,74,30.07,75.98,49.04600000000005,3.11
163,Seoul,1,KR,1580835772,44,37.57,126.98,24.8,2.1
164,Dingle,57,PH,1580836388,91,11.0,122.67,69.89000000000001,3.99
165,Port-Cartier,75,CA,1580836388,68,50.03,-66.87,30.002000000000077,3.1
166,Gweta,70,BW,1580836389,47,-20.18,25.23,79.55600000000004,1.96
167,Mayumba,93,GA,1580836390,78,-3.43,10.66,82.04000000000002,5.69
168,Husavik,90,IS,1580836390,86,66.04,-17.34,33.8,2.6
169,Laguna,1,US,1580836391,52,38.42,-121.42,48.00200000000008,6.2
170,Lompoc,1,US,1580836141,28,34.64,-120.46,48.00200000000008,2.1
171,Kaitangata,81,NZ,1580836392,79,-46.28,169.85,44.99600000000005,1.34
172,Methoni,75,GR,1580836393,76,36.82,21.7,60.00800000000001,5.2
173,Penzance,40,GB,1580836393,70,50.12,-5.54,48.2,7.7
174,Mahebourg,75,MU,1580836394,83,-20.41,57.7,78.80000000000001,6.7
175,Bredasdorp,0,ZA,1580836394,69,-34.53,20.04,78.80000000000001,2.6
176,Pemba,0,MZ,1580836395,78,-12.97,40.52,82.058,2.97
177,Ahipara,49,NZ,1580836395,99,-35.17,173.17,66.00200000000008,8.51
178,Port Moresby,20,PG,1580836396,94,-9.44,147.18,77.0,2.1
179,Verkh-Usugli,0,RU,1580836396,84,52.7,115.17,-19.245999999999945,0.46
180,Cabra,0,ES,1580836397,41,37.47,-4.44,77.0,1.72
181,Yurimaguas,20,PE,1580836398,70,-5.9,-76.08,86.0,2.1
182,Alofi,30,NU,1580836399,94,-19.06,-169.92,78.80000000000001,1.5
183,Pascagoula,75,US,1580836399,73,30.37,-88.56,75.00200000000008,7.2
184,Geraldton,90,AU,1580836400,88,-28.77,114.6,75.2,3.1
185,Sao Lourenco do Sul,40,BR,1580836400,58,-31.37,-51.98,87.80000000000001,11.3
186,Urucui,67,BR,1580836401,73,-7.23,-44.56,83.75,2.13
187,Aklavik,75,CA,1580836401,69,68.22,-135.01,-9.399999999999949,3.6
188,'Ewa Beach,1,US,1580836402,88,21.32,-158.01,73.4,1.5
189,Santiago,0,CL,1580836205,31,-33.46,-70.65,80.00600000000003,2.1
190,Bucerias,90,MX,1580836218,88,20.75,-105.33,75.99199999999999,1.12
191,Faanui,61,PF,1580836403,80,-16.48,-151.75,81.608,6.27
192,Upata,100,VE,1580836404,36,8.01,-62.4,90.21200000000006,2.62
193,Bambous Virieux,75,MU,1580836404,83,-20.34,57.76,78.80000000000001,6.7
194,Camacha,100,PT,1580836405,73,33.08,-16.33,69.80000000000001,5.7
195,Lima,75,PE,1580835867,73,-12.04,-77.03,77.0,2.6
196,Trinidad,75,BO,1580836406,83,-14.83,-64.9,84.2,3.1
197,Susanville,1,US,1580836407,42,40.42,-120.65,23.0,1.27
198,Grand Forks,1,US,1580836204,84,47.93,-97.03,6.008000000000003,2.09
199,San Andres,40,CO,1580836116,66,12.58,-81.7,86.0,7.2
200,Freeport,75,US,1580836300,71,40.66,-73.58,51.998000000000026,6.71
201,Khatanga,41,RU,1580836409,84,71.97,102.5,-20.271999999999935,5.02
202,Hirara,95,JP,1580836410,83,24.8,125.28,67.02800000000008,10.31
203,Chara,7,RU,1580836411,96,56.91,118.26,-33.213999999999984,0.43
204,Trondheim,75,NO,1580836412,80,63.43,10.4,39.2,9.8
205,Brigham City,1,US,1580836146,66,41.51,-112.02,21.991999999999997,1.92
206,Yeysk,1,RU,1580836413,80,46.7,38.28,35.90600000000003,4.29
207,Port Elizabeth,17,ZA,1580836414,61,-33.92,25.57,80.6,3.1
208,Dangriga,75,BZ,1580836414,83,16.97,-88.23,84.2,4.1
209,Port Hardy,90,CA,1580836207,99,50.7,-127.42,33.8,8.2
210,Yar-Sale,100,RU,1580836416,93,66.83,70.83,18.5,7.42
211,Zaysan,99,KZ,1580836417,84,47.47,84.87,16.916000000000007,0.53
212,Sabha,0,LY,1580836417,39,27.04,14.43,63.446000000000055,3.31
213,Moree,75,AU,1580836418,56,-29.47,149.85,71.6,7.2
214,Bilibino,95,RU,1580836418,100,68.05,166.44,-41.24199999999995,0.92
215,Artigas,0,UY,1580836419,23,-30.4,-56.47,99.33800000000005,5.74
216,Lata,0,PT,1580836419,72,40.16,-8.33,60.998000000000026,5.1
217,Sayyan,6,YE,1580836420,49,15.17,44.32,57.50600000000003,1.76
218,Alekseyevskoye,90,RU,1580836420,74,55.31,50.11,30.2,5.0
219,Shumskiy,100,RU,1580836421,96,54.83,99.13,14.666000000000007,2.06
220,Lanxi,9,CN,1580836421,90,29.22,119.48,44.00600000000003,1.13
221,Booue,12,GA,1580836422,83,-0.09,11.94,76.40600000000003,1.06
222,Hong Kong,40,HK,1580836253,77,22.29,114.16,64.4,3.1
223,Beidao,5,CN,1580836423,83,34.57,105.89,32.19800000000002,1.29
224,Hasaki,20,JP,1580836423,93,35.73,140.83,37.4,2.6
225,Tuatapere,0,NZ,1580836424,81,-46.13,167.68,46.99400000000007,1.34
226,Pihani,0,IN,1580836424,57,27.63,80.2,53.33000000000004,2.29
227,Muromtsevo,100,RU,1580836425,94,56.37,75.24,16.430000000000042,3.8
228,Sao Joao da Barra,20,BR,1580836425,55,-21.64,-41.05,89.6,3.1
229,Lerwick,40,GB,1580836426,65,60.15,-1.15,44.6,3.6
230,Hithadhoo,22,MV,1580836426,75,-0.6,73.08,82.70600000000003,4.18
231,Mandalgovi,0,MN,1580836428,90,45.76,106.27,-3.9999999999999503,3.49
232,Portland,90,US,1580836169,86,45.52,-122.68,33.998000000000026,1.28
233,Christchurch,100,NZ,1580836394,100,-43.53,172.63,51.00800000000001,5.1
234,Buraidah,40,SA,1580836430,42,26.33,43.98,66.2,3.6
235,Paamiut,100,GL,1580836431,65,61.99,-49.67,30.74000000000002,3.38
236,San Vicente,0,AR,1580836431,71,-26.62,-54.13,82.99400000000009,0.45
237,Helong,49,CN,1580836432,90,42.54,129.0,-15.39399999999997,1.82
238,Jinchang,12,CN,1580836432,29,38.5,102.17,21.97400000000001,1.14
239,Puerto del Rosario,79,ES,1580836433,56,28.5,-13.86,71.6,5.1
240,Vila Franca do Campo,75,PT,1580836434,82,37.72,-25.43,64.4,6.2
241,Dubna,100,RU,1580836434,82,56.73,37.17,23.75600000000003,5.83
242,Nalut,0,LY,1580836435,38,30.33,10.85,60.854000000000056,4.68
243,Camana,100,PE,1580836435,58,-16.62,-72.71,73.85,4.46
244,Agadez,0,NE,1580836436,20,19.75,10.25,68.48600000000008,4.39
245,Maniitsoq,59,GL,1580836437,59,65.42,-52.9,23.144000000000073,1.37
246,Grivita,90,RO,1580836437,81,44.73,27.28,51.998000000000026,5.1
247,Baiyin,0,CN,1580836438,61,36.56,104.21,21.002000000000077,3.0
248,Moussoro,17,TD,1580836438,10,13.64,16.49,75.39800000000002,5.48
249,Gijang,0,KR,1580836439,50,35.24,129.21,33.8,2.1
250,Nacogdoches,90,US,1580836439,83,31.6,-94.63,71.99600000000005,3.6
251,Monte Patria,0,CL,1580836440,19,-30.69,-70.95,82.22000000000006,5.88
252,Jacksonville,1,US,1580836237,52,30.33,-81.66,71.00600000000003,2.1
253,Havre-Saint-Pierre,1,CA,1580836441,62,50.23,-63.6,24.8,5.1
254,Hervey Bay,75,AU,1580836442,100,-25.3,152.85,73.99400000000009,3.6
255,Zhanaozen,100,KZ,1580836442,80,43.3,52.8,41.9,9.08
256,San Cristobal,56,VE,1580836443,45,7.77,-72.22,69.83600000000007,2.21
257,Kavaratti,82,IN,1580836443,78,10.57,72.64,80.22200000000004,5.69
258,Pilar,75,BR,1580836444,79,-9.6,-35.96,84.2,4.1
259,Sawakin,66,SD,1580836445,81,19.11,37.33,73.90400000000005,5.04
260,Touros,40,BR,1580836446,66,-5.2,-35.46,86.0,7.2
261,Sibolga,94,ID,1580836446,96,1.74,98.78,70.77200000000005,1.56
262,Gwadar,0,PK,1580836447,50,25.12,62.33,70.53800000000004,4.97
263,Tual,90,ID,1580836447,75,-5.67,132.75,82.85,2.55
264,Nouadhibou,0,MR,1580836448,26,20.93,-17.03,84.2,6.2
265,Ponta Delgada,75,PT,1580836448,82,37.73,-25.67,64.4,6.2
