,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
266,Hays,40,US,1580836449,68,30.05,-98.03,73.00400000000005,2.1
267,San Quintin,93,MX,1580836449,35,30.48,-115.95,56.33600000000007,2.62
268,Usinsk,100,RU,1580836450,96,65.99,57.53,24.008000000000003,6.04
269,Constitucion,0,CL,1580836450,56,-35.33,-72.42,66.48800000000006,6.94
270,Cayenne,75,GF,1580836421,70,4.93,-52.33,84.2,6.2
271,Sirte,0,LY,1580836451,75,31.21,16.59,60.944000000000074,3.16
272,Emba,97,KZ,1580836452,87,48.83,58.14,33.008,10.29
273,Salalah,20,OM,1580836226,57,17.02,54.09,75.2,1.5
274,Skibbereen,40,IE,1580836453,65,51.55,-9.27,46.4,4.1
275,Mae Sai,0,TH,1580836454,72,20.43,99.88,64.4,2.1
276,Rongcheng,0,CN,1580836454,83,30.63,117.85,41.648000000000025,0.54
277,Essenbach,75,DE,1580836455,82,48.62,12.22,37.4,5.7
278,Talcahuano,20,CL,1580836455,52,-36.72,-73.12,68.0,4.6
279,Lishui,73,CN,1580836456,94,28.46,119.91,41.48600000000007,1.24
280,Coquimbo,0,CL,1580836456,64,-29.95,-71.34,69.80000000000001,5.7
281,Bethel,75,US,1580836457,65,41.37,-73.41,48.00200000000008,2.9
282,Dwarka,18,IN,1580836457,73,22.24,68.97,71.85200000000009,6.84
283,Iqaluit,90,CA,1580836458,77,63.75,-68.51,5.0,0.68
284,Adrar,36,MR,1580836459,8,20.5,-10.07,77.59400000000008,3.68
285,Chisec,80,GT,1580836281,60,15.82,-90.28,83.26400000000004,2.04
286,Talara,100,PE,1580836460,100,-4.58,-81.27,62.6,5.7
287,Voloshka,100,RU,1580836460,93,61.33,40.09,15.890000000000018,3.66
288,Saint-Pierre,20,RE,1580836461,78,-21.34,55.48,78.80000000000001,9.8
289,Darhan,9,MN,1580836461,89,49.49,105.92,-15.015999999999956,0.99
290,Resistencia,20,AR,1580836462,52,-27.46,-58.98,96.00800000000001,6.7
291,Gizo,100,SB,1580836462,85,-8.1,156.84,78.11600000000001,2.65
292,La Rioja,40,ES,1580836330,62,42.25,-2.5,53.6,4.1
293,Louangphabang,7,LA,1580836463,76,19.89,102.13,60.54800000000003,0.17
294,Maceio,75,BR,1580836464,79,-9.67,-35.74,84.2,4.1
295,Cabo San Lucas,75,MX,1580836189,87,22.89,-109.91,69.99800000000002,4.6
296,Clyde River,75,CA,1580836465,82,70.47,-68.59,-20.199999999999953,8.7
297,Ghanzi,29,BW,1580836466,43,-21.57,21.78,78.566,3.0
298,Kokopo,100,PG,1580836466,78,-4.35,152.26,81.93200000000002,4.83
299,Sirmaur,18,IN,1580836467,63,24.85,81.38,57.12800000000007,0.83
300,Marfino,75,RU,1580836467,73,55.7,37.38,28.4,8.0
301,Esperance,2,AU,1580836468,77,-33.87,121.9,64.4,5.1
302,Zlocieniec,89,PL,1580836468,90,53.53,16.01,35.99600000000005,0.89
303,Mazara del Vallo,40,IT,1580836315,87,37.66,12.59,60.8,12.3
304,Meulaboh,50,ID,1580836469,73,4.14,96.13,82.65200000000007,1.68
305,Lorengau,40,PG,1580836470,78,-2.02,147.27,83.89400000000008,6.08
306,Santa Isabel do Rio Negro,66,BR,1580836470,39,-0.41,-65.02,95.28800000000004,1.73
307,Siverek,75,TR,1580836471,86,37.76,39.32,41.0,2.6
308,Novyy Urengoy,100,RU,1580836471,93,66.08,76.63,11.948000000000025,9.63
309,The Valley,20,AI,1580836241,65,18.22,-63.06,86.0,6.2
310,Flagstaff,1,US,1580836229,36,35.2,-111.65,39.00200000000008,6.7
311,Quelimane,49,MZ,1580836473,86,-17.88,36.89,79.68200000000002,2.18
312,Ixtapa,90,MX,1580836473,88,20.7,-105.2,75.99199999999999,1.97
313,Porto Velho,75,BR,1580836474,88,-8.76,-63.9,78.80000000000001,1.0
314,Luderitz,0,NA,1580836474,69,-26.65,15.16,73.4,8.2
315,Nauta,100,PE,1580836475,73,-4.51,-73.58,85.58600000000007,1.88
316,Mangrol,81,IN,1580836476,72,21.12,70.12,70.88000000000005,8.26
317,Mount Gambier,0,AU,1580836476,87,-37.83,140.77,48.2,3.1
318,Boueni,16,YT,1580836477,83,-12.9,45.08,82.4,1.5
319,Spornoye,98,RU,1580836477,87,50.84,37.29,32.0,3.0
320,Arroyo de la Encomienda,0,ES,1580836478,81,41.61,-4.8,55.99400000000007,3.1
321,Magistralnyy,100,RU,1580836479,88,56.17,107.45,-2.505999999999979,2.12
322,Puerto Escondido,5,MX,1580836480,84,15.85,-97.07,89.6,2.1
323,Nemuro,36,JP,1580836481,60,43.32,145.57,20.102000000000075,3.65
324,Monrovia,40,LR,1580836481,62,6.3,-10.8,89.6,6.2
325,Alice Springs,90,AU,1580836482,36,-23.7,133.88,78.80000000000001,3.1
326,Kaeo,27,NZ,1580836482,99,-35.1,173.78,68.0,4.95
327,Ketchikan,90,US,1580836483,100,55.34,-131.65,42.8,3.1
328,Pevek,100,RU,1580836483,99,69.7,170.31,-21.747999999999976,3.26
329,Walvis Bay,75,NA,1580836484,68,-22.96,14.51,71.6,4.6
330,Lodja,82,CD,1580836485,98,-3.48,23.43,71.43800000000005,0.78
331,Pangkalanbuun,65,ID,1580836485,97,-2.68,111.62,73.85,0.82
332,Huambo,40,AO,1580836486,61,-12.78,15.74,77.0,3.1
333,Rio Gallegos,40,AR,1580836377,44,-51.62,-69.22,59.0,10.3
334,San Rafael,5,AR,1580836487,34,-34.62,-68.33,82.34600000000006,7.82
335,Honiara,75,SB,1580836487,100,-9.43,159.95,78.80000000000001,2.56
336,Greeneville,75,US,1580836488,82,36.16,-82.83,59.0,2.6
337,Hun,0,LY,1580836489,32,29.13,15.95,66.02000000000007,2.98
338,Sola,100,VU,1580836489,77,-13.88,167.55,83.91200000000006,3.71
339,Plyussa,0,RU,1580836490,56,58.43,29.37,25.538000000000046,4.79
340,Ampanihy,0,MG,1580836491,50,-24.7,44.75,85.60400000000006,7.48
341,Talnakh,40,RU,1580836491,84,69.49,88.4,-0.39999999999994884,17.0
342,Upington,40,ZA,1580836492,27,-28.45,21.26,87.80000000000001,7.7
343,Maumere,100,ID,1580836492,85,-8.62,122.21,77.19800000000004,2.44
344,Maputo,20,MZ,1580836493,74,-25.97,32.59,82.4,7.2
345,Te Anau,52,NZ,1580836493,79,-45.42,167.72,41.108000000000004,2.56
346,Iquitos,75,PE,1580836254,100,-3.75,-73.25,42.8,1.5
347,Karratha,100,AU,1580836494,61,-20.74,116.85,86.52200000000005,4.85
348,Bilma,0,NE,1580836495,19,18.69,12.92,66.05600000000004,2.44
349,Moose Factory,90,CA,1580836495,71,51.26,-80.61,5.0,7.2
350,Zaoyang,0,CN,1580836496,69,32.13,112.75,45.266000000000005,2.56
351,Kenai,75,US,1580836496,92,60.55,-151.26,24.008000000000003,1.5
352,Cozumel,75,MX,1580836443,69,20.51,-86.95,82.4,7.2
353,Anadyr,100,RU,1580836498,76,64.75,177.48,-11.199999999999953,6.0
354,Valdivia,40,CL,1580836498,55,-39.81,-73.25,64.4,4.6
355,Carauari,96,BR,1580836499,51,-4.88,-66.9,91.43600000000006,0.83
356,Mareeba,40,AU,1580836499,94,-17.0,145.43,77.0,1.0
357,Ginda,99,IN,1580836500,88,30.69,78.49,36.82400000000001,1.95
358,Poum,96,NC,1580836500,77,-20.23,164.02,80.56400000000004,10.35
359,Peachland,90,CA,1580836501,85,49.77,-119.74,24.998000000000026,0.92
360,Codrington,42,AU,1580836502,69,-38.27,141.97,57.48800000000004,5.85
361,Olafsvik,100,IS,1580836503,96,64.89,-23.71,40.80200000000008,7.67
362,Paragominas,91,BR,1580836503,85,-2.97,-47.48,82.43600000000006,1.71
363,Riyadh,40,SA,1580836363,29,24.69,46.72,66.2,2.6
364,Mahon,40,ES,1580836505,76,39.89,4.27,55.400000000000006,9.3
365,Saint-Francois,20,FR,1580836505,70,46.42,3.91,42.8,6.2
366,Lodwar,35,KE,1580836506,53,3.12,35.6,83.82200000000003,4.11
367,Katsuura,20,JP,1580836507,40,35.13,140.3,51.8,11.3
368,Zanjan,34,IR,1580836507,85,36.67,48.48,25.916000000000007,9.63
369,Port Lincoln,0,AU,1580836508,80,-34.73,135.87,61.46600000000001,5.81
370,Rapar,0,IN,1580836508,57,23.57,70.63,66.59600000000006,1.36
371,Chui,79,UY,1580836509,55,-33.7,-53.46,84.29000000000002,7.12
372,Aswan,0,EG,1580836509,32,24.09,32.91,63.41000000000008,4.58
373,Chapais,90,CA,1580836510,85,49.78,-74.85,19.4,4.6
374,Numaligarh,0,IN,1580836510,80,26.63,93.75,58.820000000000064,0.76
375,Roebourne,100,AU,1580836511,37,-20.78,117.13,90.82400000000001,7.47
376,Artesia,1,US,1580836512,14,33.87,-118.08,55.400000000000006,8.7
377,Raudeberg,40,NO,1580836513,74,61.99,5.14,39.00200000000008,2.6
378,Warrington,40,GB,1580836243,87,53.39,-2.58,48.2,8.2
379,Koroni,75,GR,1580836514,76,36.8,21.95,60.00800000000001,0.99
380,Yulara,2,AU,1580836229,41,-25.24,130.99,77.0,2.6
381,Nanyamba,40,TZ,1580836515,78,-10.68,39.83,82.4,0.35
382,Smithers,75,CA,1580836358,92,54.78,-127.17,23.0,1.34
383,Pemangkat,100,ID,1580836516,91,1.17,108.97,76.13600000000008,3.75
384,Rapu-Rapu,83,PH,1580836517,85,13.19,124.13,74.03000000000004,3.11
385,Sao Paulo de Olivenca,52,BR,1580836517,68,-3.38,-68.87,88.57400000000001,0.97
386,Russell,40,US,1580836518,72,32.35,-85.2,71.00600000000003,4.6
387,Illapel,0,CL,1580836518,27,-31.63,-71.17,75.65,5.41
388,Yumen,78,CN,1580836519,41,40.28,97.2,23.19800000000002,3.58
389,Forrest City,100,US,1580836519,100,35.01,-90.79,62.6,6.2
390,Hobyo,59,SO,1580836520,69,5.35,48.53,76.424,8.41
391,Mecca,88,SA,1580836502,64,21.43,39.83,69.90800000000002,2.76
392,Vao,78,NC,1580836521,77,-22.67,167.48,77.52200000000005,7.32
393,Ligayan,10,PH,1580836521,79,4.65,119.47,80.15,7.59
394,Severo-Kuril'sk,40,RU,1580836522,83,50.68,156.12,5.180000000000039,8.14
395,Meridian,1,US,1580836331,92,43.61,-116.39,28.994000000000074,2.1
396,Mersing,76,MY,1580836523,80,2.43,103.84,80.09600000000006,6.45
397,Cap Malheureux,75,MU,1580836524,83,-19.98,57.61,78.80000000000001,6.7
398,Vestmannaeyjar,90,IS,1580836524,100,63.44,-20.27,42.8,9.3
399,Mount Isa,41,AU,1580836525,100,-20.73,139.5,75.2,2.6
400,Barabinsk,75,RU,1580836525,95,55.36,78.36,7.9160000000000075,4.17
401,Visnes,16,NO,1580836526,69,59.36,5.22,39.2,8.7
402,Cururupu,100,BR,1580836526,90,-1.83,-44.87,80.47400000000002,2.08
403,Sechura,89,PE,1580836527,87,-5.56,-80.82,72.95,4.89
404,Augusto Correa,100,BR,1580836527,91,-1.02,-46.63,80.33000000000004,3.74
405,Skjervoy,90,NO,1580836528,92,70.03,20.97,24.8,3.6
406,Zhob,0,PK,1580836528,57,31.34,69.45,39.41600000000001,0.9
407,Ancud,75,CL,1580836529,71,-41.87,-73.82,53.6,5.7
408,Ovalle,0,CL,1580836529,19,-30.6,-71.2,82.22000000000006,5.88
409,Katherine,100,AU,1580836530,74,-14.47,132.27,82.4,2.6
410,Setermoen,90,NO,1580836531,92,68.86,18.35,23.0,7.7
411,Sosnovo-Ozerskoye,74,RU,1580836531,83,52.52,111.54,-17.91399999999998,2.07
412,Berlevag,95,NO,1580836532,73,70.86,29.09,19.4,9.3
413,Ouricuri,98,BR,1580836533,51,-7.88,-40.08,89.42000000000007,0.55
414,Havelock,40,US,1580836534,40,34.88,-76.9,73.00400000000005,7.2
415,Inverell,62,AU,1580836535,74,-29.78,151.12,64.99400000000009,1.79
416,Lebane,75,RS,1580836535,58,42.92,21.74,59.0,9.8
417,Mogadishu,38,SO,1580836537,76,2.04,45.34,79.91600000000001,11.75
418,Hualmay,97,PE,1580836537,63,-11.1,-77.61,78.80000000000001,4.46
419,Sioux Lookout,40,CA,1580836538,70,50.1,-91.92,-0.39999999999994884,4.6
420,Blyznyuky,97,UA,1580836538,74,48.86,36.56,34.628000000000064,3.35
421,College,90,US,1580836540,77,64.86,-147.8,6.008000000000003,1.11
422,Umm Kaddadah,39,SD,1580836540,13,13.6,26.69,70.12400000000002,5.09
423,Natal,40,BR,1580836329,70,-5.79,-35.21,86.0,7.7
424,Polunochnoye,94,RU,1580836541,92,60.87,60.42,24.008000000000003,3.15
425,Karangampel,100,ID,1580836542,85,-6.46,108.45,78.458,4.16
426,Safaga,0,EG,1580836542,42,26.73,33.94,68.0,5.1
427,Amurskaya Oblast',100,RU,1580836543,89,54.0,128.0,-21.171999999999933,2.07
428,Lakes Entrance,0,AU,1580836543,84,-37.88,147.98,53.99600000000005,5.84
429,Vilhena,75,BR,1580836517,78,-12.74,-60.15,78.80000000000001,5.1
430,Petropavlovsk-Kamchatsky,23,RU,1580836545,52,53.05,158.65,-9.399999999999949,4.0
431,Anshun,87,CN,1580836545,90,26.25,105.93,43.16000000000008,1.65
432,Yangi Marg`ilon,0,UZ,1580836546,69,40.43,71.72,37.4,2.1
433,Saint Augustine,1,US,1580836264,60,29.89,-81.31,71.00600000000003,3.6
434,Black River,75,JM,1580836547,78,18.03,-77.85,84.99199999999999,7.2
435,Ca Mau,46,VN,1580836521,90,9.18,105.15,73.058,2.98
436,Suntar,100,RU,1580836548,94,62.14,117.63,-23.961999999999954,1.71
437,Emerald,90,AU,1580836549,94,-23.53,148.17,73.4,2.1
438,Staryy Nadym,100,RU,1580836549,92,65.61,72.68,18.08600000000007,8.5
439,Oxapampa,100,PE,1580836550,86,-10.58,-75.4,63.55400000000006,1.4
440,Mayo,40,US,1580836551,72,38.89,-76.51,64.99400000000009,2.1
441,Urdoma,100,RU,1580836551,96,61.75,48.54,12.59600000000005,1.69
442,Vuktyl,100,RU,1580836552,97,63.86,57.31,26.81600000000001,2.69
443,Toguchin,98,RU,1580836552,92,55.24,84.39,11.516000000000009,3.11
444,Abu Samrah,92,SY,1580836553,83,35.3,37.18,52.34000000000002,5.26
445,Yarmouth,90,US,1580836511,75,41.71,-70.23,48.00200000000008,3.6
446,Pajapan,75,MX,1580836554,74,18.25,-94.7,78.80000000000001,2.51
447,Muisne,83,EC,1580836554,79,0.6,-80.03,84.2,4.6
448,Faya,40,SA,1580836555,87,18.39,42.45,57.2,4.6
449,Dudinka,40,RU,1580836555,84,69.41,86.18,-0.39999999999994884,17.0
450,Manokwari,92,ID,1580836556,71,-0.87,134.08,74.71400000000003,1.52
451,Tharad,0,IN,1580836556,71,24.4,71.63,59.648000000000025,2.16
452,Ambulu,84,ID,1580836557,80,-8.35,113.61,79.75400000000005,3.42
453,Aitape,100,PG,1580836557,79,-3.14,142.35,82.4,5.29
454,Palora,90,EC,1580836558,88,-1.7,-77.93,71.6,2.6
455,Gushikawa,75,JP,1580836558,93,26.35,127.87,64.4,5.7
456,Coyhaique,75,CL,1580836559,47,-45.58,-72.07,59.0,2.6
457,Charters Towers,30,AU,1580836559,92,-20.1,146.27,73.04000000000002,3.05
458,Bealanana,95,MG,1580836560,93,-14.55,48.73,66.16400000000004,1.02
459,Moranbah,84,AU,1580836561,79,-22.0,148.05,75.81200000000007,4.66
460,Eatonton,40,US,1580836562,72,33.33,-83.39,68.0,2.6
461,Zhigansk,40,RU,1580836562,97,66.77,123.37,-38.48799999999994,2.7
462,Aleksandrovsk-Sakhalinskiy,100,RU,1580836563,94,50.9,142.16,0.3740000000000627,7.69
463,Vallenar,3,CL,1580836563,50,-28.57,-70.76,75.45200000000008,5.48
464,Praia da Vitoria,75,PT,1580836564,82,38.73,-27.07,64.4,6.92
465,Chiredzi,35,ZW,1580836564,56,-21.05,31.67,80.31200000000007,2.66
466,Tchibanga,93,GA,1580836565,93,-2.85,11.03,75.50600000000003,1.25
467,Kutum,11,SD,1580836565,17,14.2,24.67,63.57200000000004,3.93
468,Wallaceburg,90,CA,1580836530,74,42.59,-82.39,35.99600000000005,7.7
469,Chauk,0,MM,1580836566,33,20.88,94.82,65.04800000000003,0.37
470,Mangaratiba,75,BR,1580836567,74,-22.96,-44.04,87.80000000000001,4.6
471,Phulbani,50,IN,1580836567,94,20.47,84.23,64.58000000000004,1.58
472,Auki,100,SB,1580836568,79,-8.77,160.7,84.75800000000001,8.79
473,Mabaruma,100,GY,1580836568,53,8.2,-59.78,87.04400000000007,1.89
474,Maragogi,90,BR,1580836570,79,-9.01,-35.22,81.91400000000004,6.53
475,Cartagena del Chaira,33,CO,1580836571,43,1.33,-74.84,91.43600000000006,3.07
476,Ganzhou,33,CN,1580836572,84,28.82,115.43,45.788000000000046,1.12
477,Pervoavgustovskiy,75,RU,1580836572,86,52.23,35.06,25.466000000000008,2.5
478,Kudahuvadhoo,0,MV,1580836573,77,2.67,72.89,81.64400000000008,5.84
479,Sann,0,PK,1580836573,63,26.04,68.14,64.4,3.1
480,Lipin Bor,100,RU,1580836574,91,60.26,37.98,19.238000000000042,4.35
481,Tanout,33,NE,1580836574,12,14.97,8.89,71.11400000000003,4.46
482,Andenes,75,NO,1580836575,53,69.31,16.12,26.6,10.3
483,Dundee,20,GB,1580836575,70,56.5,-2.97,44.6,2.1
484,Zyryanka,100,RU,1580836576,98,65.75,150.85,-17.481999999999964,2.55
485,Saint George's,20,GD,1580836576,62,12.06,-61.75,84.2,7.7
486,Jacareacanga,75,BR,1580836577,79,-6.22,-57.75,84.2,2.1
487,Pokhara,1,NP,1580836577,85,28.23,83.98,49.17200000000004,1.23
488,Cidreira,0,BR,1580836578,81,-30.18,-50.21,76.1,10.5
489,Lensk,100,RU,1580836578,92,60.73,114.93,-20.90199999999998,0.95
490,Punta Alta,75,AR,1580836579,45,-38.88,-62.07,84.2,3.6
491,Bandundu,100,CD,1580836579,96,-3.32,17.37,70.84400000000008,1.61
492,Kungurtug,2,RU,1580836580,72,50.6,97.52,-2.6859999999999715,1.43
493,Arrondissement de Tarbes,40,FR,1580836580,76,43.25,0.17,50.0,4.6
494,Qasigiannguit,5,GL,1580836581,54,68.82,-51.19,1.3999999999999986,1.5
495,Allapalli,36,IN,1580836581,51,19.42,80.07,76.64000000000001,2.48
496,Mezhova,68,UA,1580836582,78,48.25,36.73,32.0,3.11
497,Edelira,0,PY,1580836582,29,-26.75,-55.27,98.22200000000004,2.21
498,Kelo,5,TD,1580836583,14,9.31,15.81,81.71600000000001,2.68
499,Gejiu,2,CN,1580836583,96,23.31,103.16,45.71600000000001,1.71
500,Mizdah,0,LY,1580836584,39,31.45,12.98,60.51200000000006,4.43
501,Ayan,59,RU,1580836584,70,56.45,138.17,-21.153999999999954,5.86
502,Jalingo,47,NG,1580836585,15,8.88,11.37,80.29400000000007,1.83
503,Gazojak,90,TM,1580836585,49,41.19,61.4,47.93000000000004,9.09
504,Imbituba,90,BR,1580836586,100,-28.24,-48.67,75.2,3.6
505,Pemagatsel,0,BT,1580836587,73,27.03,91.43,41.45,1.95
506,Sisimiut,17,GL,1580836587,62,66.94,-53.67,1.9940000000000744,3.29
507,Krapivinskiy,90,RU,1580836588,92,55.0,86.81,24.8,3.0
508,Novoagansk,100,RU,1580836588,94,61.94,76.66,14.036000000000069,6.96
509,Srednekolymsk,99,RU,1580836589,97,67.45,153.68,-21.711999999999954,2.02
510,Chifeng,0,CN,1580836589,50,42.27,118.96,-1.8399999999999679,3.54
511,Huaral,75,PE,1580836590,73,-11.49,-77.21,77.0,2.6
512,Redlands,1,US,1580836590,15,34.06,-117.18,55.004000000000055,2.1
513,Naze,90,JP,1580836591,87,28.37,129.48,59.0,4.1
514,Chapada dos Guimaraes,40,BR,1580836591,55,-15.46,-55.75,89.6,3.1
515,Chino Valley,1,US,1580836592,29,34.76,-112.45,39.992,4.6
516,Pitmoaga,20,BF,1580836593,7,12.24,-1.88,91.4,5.7
517,Yeniseysk,99,RU,1580836593,96,58.45,92.17,4.802000000000078,1.8
518,Cortes,40,ES,1580836594,50,41.94,-1.44,55.400000000000006,8.7
519,Korla,61,CN,1580836594,40,41.76,86.15,19.202000000000076,0.77
520,High Level,20,CA,1580836595,83,58.52,-117.14,-12.99999999999995,1.39
521,Vanimo,100,PG,1580836596,81,-2.67,141.3,82.11200000000005,6.83
522,Franklin,90,US,1580836596,93,39.97,-83.02,57.00200000000008,4.1
523,Turukhansk,99,RU,1580836597,84,65.82,87.98,-9.705999999999982,5.83
524,Yonibana,0,SL,1580836597,14,8.44,-12.24,96.06200000000005,1.69
525,Asosa,19,ET,1580836597,25,10.07,34.53,73.23800000000006,2.42
526,Inirida,20,CO,1580836598,40,3.87,-67.92,98.43800000000005,0.39
527,Arona,20,ES,1580836598,43,28.1,-16.68,77.0,5.1
528,Trojes,75,AL,1580836599,67,41.76,19.96,60.8,8.2
529,El Sauzal de Rodriguez,3,MX,1580836599,25,31.9,-116.68,55.004000000000055,4.47
